origin,timestamp,horizon,analysis_period,actual_P_kW,actual_Q_kVAr,S24-T10_P_kW,S24-T10_Q_kVAr,S24-T30_P_kW,S24-T30_Q_kVAr,S24-T60_P_kW,S24-T60_Q_kVAr,S36-T60_P_kW,S36-T60_Q_kVAr,S48-T60_P_kW,S48-T60_Q_kVAr,SNaive-168_P_kW,SNaive-168_Q_kVAr,SNaive-24_P_kW,SNaive-24_Q_kVAr
2022-02-14,2022-02-14 14:00:00,15,primary_54,2393.1,1128.0,2497.3354266068222,1017.820407396586,2460.6141569752995,1123.2720793267094,2406.0486543406964,996.9869583833528,2426.8992190381614,1056.6060032697974,2459.3192457965256,1010.7274356742428,2396.1,993.6,2051.1,653.4
2022-02-14,2022-02-14 15:00:00,16,primary_54,2383.8,1073.1,2492.4271474998595,1017.0229580655443,2462.6425295073614,1052.3448743090487,2437.677853434304,971.2630459819336,2418.534322293844,991.3890609919262,2471.57913978039,1000.956785039411,2359.5,944.7,2121.9,675.0
2022-02-14,2022-02-14 16:00:00,17,primary_54,2353.5,1002.3,2405.6727646950403,856.5305823924662,2388.878222094748,863.506406383003,2341.6310449845223,818.253584168848,2346.085927849669,836.6618978976703,2369.192729113176,832.0372508768986,2328.3,771.0,2149.5,642.6
2022-02-14,2022-02-14 17:00:00,18,primary_54,2521.2,981.0,2418.9315271745827,771.8092692395047,2438.101347699936,773.6747782954774,2362.9241305374626,734.1082789440813,2390.6257313822657,771.71607868652,2377.135955088351,721.775548389616,2229.3,567.6,2223.0,592.5
2022-02-14,2022-02-14 18:00:00,19,primary_54,2722.2,981.0,2455.8051636832006,736.3302601137023,2466.5318277317665,734.049189749563,2422.158503964741,683.7053058669766,2439.5837380847333,721.8256247987279,2438.7667188837063,659.1880961566729,2251.8,523.2,2292.3,561.9
2022-02-14,2022-02-14 19:00:00,20,primary_54,2546.1,846.0,2470.5268626813663,672.908895175665,2443.329107767075,673.8149498918943,2391.8892629148195,660.923449986061,2409.5959978142605,662.507600972262,2395.442750669558,625.7203727813916,2277.0,535.2,2318.4,588.3
2022-02-14,2022-02-14 20:00:00,21,primary_54,2443.2,704.1,2365.625408477564,657.1940063593685,2383.5428182728465,658.1720097183911,2357.980042758344,655.2417770781336,2377.7461998443155,651.5097954307811,2388.337038874169,612.5659283400736,2264.7,547.8,2319.3,596.4
2022-02-14,2022-02-14 21:00:00,22,primary_54,2391.0,691.8,2382.507786390528,656.1870794721295,2337.6820644610616,661.3099315142266,2311.3562936651465,640.1558097223782,2320.915813671659,652.0469485238456,2313.733198806085,603.4557372312206,2152.5,520.2,2278.8,576.3
2022-02-14,2022-02-14 22:00:00,23,primary_54,2283.9,700.2,2292.002038576767,668.2331079714546,2241.573987703526,661.6295410916856,2196.9241971307138,641.9529971516733,2214.370809431785,659.3806018710524,2194.219550834585,608.3142123545027,2044.5,528.0,2146.8,585.0
2022-02-14,2022-02-14 23:00:00,24,primary_54,2082.6,639.5999999999999,2164.126420524717,690.098184658044,2079.7536204270264,645.3461455986097,2053.6379204620284,616.4212717201951,2075.7196376535267,635.8344643083618,2033.605527890292,589.3665964757594,1889.1,524.7,1945.2,553.5
2022-02-15,2022-02-15 00:00:00,1,primary_54,1920.0,602.1,1964.043219537348,634.9422986869242,1938.176493977625,623.9902026368669,1963.46308185384,646.2373366821024,1955.1182458433957,634.9252616345693,1963.038425040012,635.0109596625313,1807.8,558.9,1830.3,559.5
2022-02-15,2022-02-15 01:00:00,2,primary_54,1914.3,643.2,1875.556921507072,644.7757674809676,1853.9653486124128,620.5108627720462,1895.9744239808465,651.1095995331764,1881.867254529407,633.8093481682694,1878.7917456078133,636.5501379870674,1779.6,588.3,1749.5,578.1
2022-02-15,2022-02-15 02:00:00,3,primary_54,1865.4,645.3,1850.024075104138,640.4537017873698,1819.1456337133247,615.1494957715994,1871.18757166706,655.3168777402731,1846.041044720111,630.8480617260963,1844.399577637648,631.7255477457142,1747.2,596.7,1733.1,600.0
2022-02-15,2022-02-15 03:00:00,4,primary_54,1871.1,656.4,1850.0990224811287,673.9365590421029,1794.6677256846624,609.4559125136952,1878.7618879188328,647.9790478449371,1843.2178215727247,631.2964409411605,1848.462211135732,631.7723646417504,1730.7,597.6,1724.1,604.5
2022-02-15,2022-02-15 04:00:00,5,primary_54,1887.3,657.9,1867.350408746748,683.0368519668227,1796.2713137699168,592.8504848936681,1884.4054503300235,630.3436797520853,1852.3553205723224,618.9982493704156,1833.699740737977,625.7655177775085,1731.6,594.6,1735.2,607.5
2022-02-15,2022-02-15 05:00:00,6,primary_54,1963.5,644.7,1958.2307613676967,661.8369357103835,1864.5479367130915,577.0184781019049,1943.0205412499608,612.744675565975,1933.5577767004656,599.3075619835633,1909.9414079178728,611.4133316178913,1804.2,576.9,1815.3,605.7
2022-02-15,2022-02-15 06:00:00,7,primary_54,2054.7,620.6999999999999,2002.2769836088096,606.8063778533085,1981.016987356168,565.8490507853119,2035.7167479979423,582.897487597986,2029.5722026805647,572.6523249112144,2024.2579726265344,585.0267889730302,1865.1,551.1,1915.5,573.9
