configuration,origin,MSE_P,MSE_Q,MAE_P,MAE_Q,analysis_period,paired_normalized_squared_loss,CRPS_P,CRPS_Q,paired_normalized_CRPS
S36-T60,2022-02-05,3851.2482995144146,3321.7730656362037,47.10655136250321,44.59877426652912,primary_54,0.083684803480172,38.94190987803464,34.41261328418019,0.17628406478165315
S36-T60,2022-02-06,1022.8772795447647,2023.2093855370567,25.71315933799743,39.81694198483458,primary_54,0.033029450798183216,32.19433407188766,32.08214870824208,0.15364208299095028
S36-T60,2022-02-07,9448.840927875737,10731.84507168264,75.23055279218035,92.73235275252186,primary_54,0.2297642726246566,61.96627571832446,64.2212383325492,0.3010999292268071
S36-T60,2022-02-08,26087.266267197236,21285.33253831518,130.80575063574568,111.73661234867659,primary_54,0.5553490888019997,98.14774824767646,84.53003927503278,0.439508150647954
S36-T60,2022-02-09,33542.394060741055,40722.52540309596,126.52369878404154,134.63322159015692,primary_54,0.8404993600477162,99.2206154354897,109.74366094951284,0.4971623976928682
S36-T60,2022-02-10,9853.877334840623,10802.52501327701,80.13668087339467,80.10304493294643,primary_54,0.2359268383780104,50.70058424749876,51.82853924080885,0.24479871195460948
S36-T60,2022-02-11,7525.559786903011,9828.053424708274,70.78543116389146,70.8932884844521,primary_54,0.19512214064612377,53.774068197187205,53.769220453770906,0.2570249244323905
S36-T60,2022-02-12,15368.519693619319,5337.315822634836,104.77494078984523,65.07027422998605,primary_54,0.2589727152048664,71.27121851970222,43.608010209215536,0.2804800898737343
S36-T60,2022-02-13,4095.6821963110165,2417.8833850132473,53.864286144548736,41.82805024369146,primary_54,0.07844155025408103,42.37933886544872,34.61095968179897,0.1856670093166713
S36-T60,2022-02-14,7992.6894689608425,14182.819670411774,65.59674582585693,88.48034519065219,primary_54,0.24269038071359417,45.15279545059274,56.11627866649371,0.23968113178853268
S36-T60,2022-02-15,3540.8852965113597,6715.128162233436,48.46471737158736,65.2294298404547,primary_54,0.11160519263968141,35.923595233459984,42.22774755121238,0.18542845571257655
S36-T60,2022-02-16,6290.912964915521,10215.583638869017,63.51735604114998,89.77166162769481,primary_54,0.18204644419804583,43.25907295400569,61.9826025456753,0.24751379451738822
S36-T60,2022-02-17,9596.34512423937,27098.19535267376,70.74747125867958,116.25762112444495,primary_54,0.38672829176772117,48.25444994172568,82.49850916644549,0.3051612126046184
S36-T60,2022-02-18,19390.563420934075,52456.799601645274,112.50955133157895,182.21111098014418,primary_54,0.7596690745506827,68.87963361954432,128.7776734755481,0.45956638323613563
S36-T60,2022-02-19,9918.60147989883,20711.11615200435,81.62767730707354,108.63864580950565,primary_54,0.3306233693310324,59.45204205969197,84.18873017759435,0.3379983842358083
S36-T60,2022-02-20,3923.9562479713727,7492.911342609602,49.32760869578916,82.29142184960077,primary_54,0.12416500075993173,41.36281445723436,52.95153037787111,0.2229257413227198
S36-T60,2022-02-21,9951.846318643986,9100.036719037016,78.1758789099837,87.28361417910601,primary_54,0.22113567590896066,48.08137343606461,53.00627557536978,0.24054059580140225
S36-T60,2022-02-22,5101.974559665334,9417.93761676544,61.558583434752194,70.26299011626328,primary_54,0.158368925144253,46.244970892699655,44.04551837561195,0.2162614059481469
S36-T60,2022-02-23,11791.987860738942,16105.405237383507,83.76275411440115,95.31621775205906,primary_54,0.31242251426120227,57.582360680431066,65.3855907400432,0.2922172417166464
S36-T60,2022-02-24,27359.239600034605,19382.28302064489,127.65123763036172,115.90501892639446,descriptive_stress_5,0.554581455406879,102.98605030756296,79.61021630448816,0.44140286027960324
S36-T60,2022-02-25,78301.87337331702,51918.28578103453,235.1052323444321,162.1598945512981,descriptive_stress_5,1.553559508951811,195.30944996314625,132.8667480902479,0.7976982291777572
S36-T60,2022-02-26,10347.729148523933,564.101844825741,89.1867970381606,16.212299955147092,descriptive_stress_5,0.14568304987203304,64.0271078746975,24.565720991412665,0.2201830969653445
S36-T60,2022-02-27,8932.55013754331,7909.324391388754,61.07890307602832,62.19450730801639,descriptive_stress_5,0.19603722601124154,48.97207904951011,48.44455014350527,0.23293456251500325
S36-T60,2022-02-28,19508.421518008952,19136.817138621045,113.75530503725993,112.33364367755222,descriptive_stress_5,0.4457799389275666,86.25191435946482,82.77740214447643,0.4047168874582598
S48-T60,2022-01-01,112429.7855627156,16856.08818565864,300.1042415198378,117.72971497853105,primary_54,1.6844384020460266,252.93946810076832,85.06087812531412,0.8437548777517867
S48-T60,2022-01-02,2709.0137309889683,1109.5270547903951,42.16076243298033,26.4277422348765,primary_54,0.04724668178813368,38.43770104999941,28.735561542428467,0.16261879367695486
S48-T60,2022-01-03,26735.652084517336,16526.56505626391,140.29097202264504,107.76140175257939,primary_54,0.5190848626199971,104.80508607190784,76.2090657676706,0.43873948984569033
S48-T60,2022-01-04,16620.97361225758,8689.868203934899,106.96430962832635,75.79898662979384,primary_54,0.30770259545239587,62.7762850855626,46.34864738888164,0.2643216548533497
