model_id,target,date,SE,AE,CRPS,PB,RMSE,MAE,MAPE%,SMAPE%,WMAPE%,Bias_y_minus_pred,Coverage80,Coverage95
mutual_lags_LGBM_1,Q_Power,2022-02-23,13336.791804913228,85.58900105309867,55.57153252506735,29.144464285146427,115.48502848816909,85.58900105309867,9.91870568704038,9.757896595412944,10.327481273375405,-8.524411776119706,0.875,1.0
mutual_lags_LGBM_1,Q_Power,2022-02-24,21757.07334046016,137.03445312956524,93.5136611797094,49.295651556008515,147.5027909582058,137.03445312956524,14.363045631435245,15.366893668946663,14.369470259483588,103.54082736649302,0.375,0.9166666666666666
mutual_lags_LGBM_1,Q_Power,2022-02-25,60783.70582625885,172.2904081272187,142.70064314681176,74.37627328530967,246.543517104504,172.2904081272187,26.693225284197798,21.030135242192227,22.503971803450717,-133.7527852252846,0.5416666666666666,0.7916666666666666
mutual_lags_LGBM_1,Q_Power,2022-02-26,2495.713494657544,35.26270490216929,34.21356439613758,17.749473386409694,49.95711655667833,35.26270490216929,5.29667905849219,5.539418490802164,5.752597712379011,31.54352446428374,1.0,1.0
mutual_lags_LGBM_1,Q_Power,2022-02-27,3461.500774810547,41.16480733880659,37.335376801974505,19.362146465986786,58.83452026498174,41.16480733880659,5.845329461974935,6.032442705023921,6.512517228834077,21.93645006357527,1.0,1.0
mutual_lags_LGBM_1,Q_Power,2022-02-28,17919.89863738417,109.4699888869286,78.69264660949953,41.35448174456763,133.86522564648433,109.4699888869286,17.841720359546905,15.993264526053233,16.143337408900233,-74.01924799953503,0.625,0.9166666666666666
mutual_lags_LGBM_2,Q_Power,2022-01-01,61203.06636116724,198.49245709057132,154.25905930044726,81.66477808858498,247.3925349746173,198.49245709057132,41.746292894555445,32.01940608144829,42.7704812326493,-198.49245709057132,0.2916666666666667,0.8333333333333334
mutual_lags_LGBM_2,Q_Power,2022-01-02,1386.9839486324254,31.055265835263626,31.020536986344002,16.05041891829447,37.2422334001658,31.055265835263626,6.161055824271311,6.15411174485044,6.196336866993615,1.2841261146403535,1.0,1.0
mutual_lags_LGBM_2,Q_Power,2022-01-03,19410.333843164244,114.42376652961467,79.89831168230482,42.11936849246026,139.3209741681569,114.42376652961467,17.964259556219982,15.818983627746922,17.375436710834943,-105.96049369046015,0.6666666666666666,1.0
mutual_lags_LGBM_2,Q_Power,2022-01-04,5537.9509131671875,56.81484260023475,43.058364734209455,22.34141791033942,74.41741001383471,56.81484260023475,8.011933741134204,7.962298357563332,7.447952361319403,15.259442411511452,0.9166666666666666,1.0
mutual_lags_LGBM_2,Q_Power,2022-01-05,6677.311975207696,67.04475728806374,50.69239792557198,26.487514933346734,81.7148210253666,67.04475728806374,10.313357792872486,9.56840796666637,9.277464554762938,-53.59368866936298,0.875,1.0
mutual_lags_LGBM_2,Q_Power,2022-01-06,21506.271443655565,108.50936024802752,85.0054418258939,44.74802040381502,146.65016687223905,108.50936024802752,18.271493235236033,15.958012668097446,15.573643379695374,-70.99314744637825,0.5833333333333334,0.9583333333333334
mutual_lags_LGBM_2,Q_Power,2022-01-07,132322.96322698286,265.29062790678546,215.31481542265655,112.2953090641256,363.76223447051626,265.29062790678546,54.92388488374104,37.458556237371695,57.13468538346749,-265.29062790678546,0.5,0.7083333333333334
mutual_lags_LGBM_2,Q_Power,2022-01-08,8408.851776285777,79.44740739153893,51.39749689744718,26.91360257913888,91.69979158256456,79.44740739153893,16.857556171598542,15.270601354691596,17.43079996523356,-79.44740739153893,0.9583333333333334,1.0
mutual_lags_LGBM_2,Q_Power,2022-01-09,38112.73594913472,137.58687669343902,102.48660443229842,53.80622479838791,195.22483435550592,137.58687669343902,16.669502161699622,19.467543462102412,21.439743928543837,128.54236908301888,0.5833333333333334,0.8333333333333334
mutual_lags_LGBM_2,Q_Power,2022-01-10,7845.5858138753565,73.97270218465259,47.50416231475648,24.836005800144125,88.57531153699296,73.97270218465259,9.494801190222333,9.647270070602065,9.889729226866217,5.952451080134189,0.9166666666666666,1.0
mutual_lags_LGBM_2,Q_Power,2022-01-11,7218.192507720385,71.22458526404236,51.93646939978388,27.108697647437424,84.95994649080463,71.22458526404236,11.017254865451195,10.335872109097117,9.54033791732673,-26.97473144736494,0.75,1.0
mutual_lags_LGBM_2,Q_Power,2022-01-12,13059.429030290325,96.47014438831512,67.98981602169198,35.752398564562704,114.27785888040746,96.47014438831512,15.369351437187753,13.81692328153,13.873110823414002,-95.2363465808963,0.7083333333333334,1.0
mutual_lags_LGBM_2,Q_Power,2022-01-13,3250.6847414796284,46.179367571791964,37.87156399944252,19.66950986989207,57.014776518720375,46.179367571791964,6.847075323152131,6.721638260978009,6.71175155013963,-15.407946344181566,0.9583333333333334,1.0
mutual_lags_LGBM_2,Q_Power,2022-01-14,35747.223415717075,151.85255470016617,114.70370769045432,60.30960880097357,189.0693613881347,151.85255470016617,29.656441285869867,24.254042473475636,23.45301028365944,-15.664817859440431,0.5416666666666666,0.7916666666666666
mutual_lags_LGBM_2,Q_Power,2022-01-15,15819.116610613486,88.88197197238894,64.99053992922535,34.15958324818237,125.77406970680994,88.88197197238894,18.846309097655,15.997498208527979,17.96631037981623,-80.7490713294972,0.7916666666666666,1.0
mutual_lags_LGBM_2,Q_Power,2022-01-16,5100.199512182792,53.31938542767776,41.741535424362176,21.750651343981616,71.41568113644784,53.31938542767776,10.143877464897637,9.348718274210228,10.439173868026286,-46.742010466962505,1.0,1.0
mutual_lags_LGBM_2,Q_Power,2022-01-17,9846.218428853697,72.20651016020597,50.741274755146684,26.507834076657574,99.22811309731581,72.20651016020597,9.090653909862766,9.370764738799304,10.075209845495651,30.85011082853495,0.8333333333333334,1.0
mutual_lags_LGBM_2,Q_Power,2022-01-18,11751.922398714034,96.8341425583741,62.2017820579044,32.53136887321326,108.40628394476971,96.8341425583741,13.535308734173332,14.11533292547931,13.094321266831068,58.003346022828076,0.875,1.0
mutual_lags_LGBM_2,Q_Power,2022-01-19,10832.468528877882,74.90606331659595,51.62471112766091,27.058260970673313,104.07914550416852,74.90606331659595,10.301107992749193,10.29930609588971,10.992964971616663,-3.4116522944273577,0.875,1.0
mutual_lags_LGBM_2,Q_Power,2022-01-20,6740.045213455992,55.508171851189296,48.08323240378513,25.09142375036502,82.09777837101313,55.508171851189296,9.729413424333817,8.884390389383212,8.490896093797478,-44.45597668191687,0.875,1.0
mutual_lags_LGBM_2,Q_Power,2022-01-21,13570.562765386137,95.31225292802434,64.51215858035607,33.851881433844945,116.49275842465975,95.31225292802434,14.18417197720039,13.542006043988298,14.92460409912301,-53.32924425669464,0.9166666666666666,1.0
mutual_lags_LGBM_2,Q_Power,2022-01-22,2699.8420706044694,44.83196656976137,36.32159496459887,18.876825503571535,51.96000452852626,44.83196656976137,8.352078689538288,8.181376618230178,8.262624290047482,-3.635496116067621,1.0,1.0
mutual_lags_LGBM_2,Q_Power,2022-01-23,3591.4759316618342,51.44351270935764,39.511274399986455,20.513644170329112,59.928923998865805,51.44351270935764,9.369333627215193,9.689684595936528,9.470891095753236,21.43461933925929,1.0,1.0
mutual_lags_LGBM_2,Q_Power,2022-01-24,23642.323227616216,123.24122636789457,88.09826711616155,46.34945531450766,153.76060362659942,123.24122636789457,18.126601402341116,16.019944935352296,18.432729040965384,-108.76657891947336,0.5833333333333334,1.0
