statistic,p_value,n,mean_difference,standard_error,ci_low,ci_high,hac_lag,status,target,loss,model_a,model_b,p_holm,better_model
0.12066816113855312,0.9043709347296386,59,0.22707311057314417,1.8817980520347466,-3.539754951815254,3.9939011729615426,3,ok,P_Power,AE,SFS_LGBM,SFS_shared_LGBM,1.0,
-2.554245425907924,0.013290500364919387,59,-65.21032993536878,25.5301739112205,-116.31452542672741,-14.106134444010145,3,ok,P_Power,AE,SFS_LGBM,mi_top_k_nolags_LGBM,0.5050390138669367,
2.8539112531164363,0.005978734260371847,59,38.750453786303176,13.578016395565262,11.571100967289517,65.92980660531683,3,ok,P_Power,AE,SFS_LGBM,mutual_lags_LGBM_0,0.2989367130185923,
3.2945882258728343,0.0016838732015962152,59,43.321715757530285,13.14935669875803,17.00041854836406,69.64301296669652,3,ok,P_Power,AE,SFS_LGBM,mutual_lags_LGBM_1,0.10440013849896534,
2.418107123202158,0.018762793234856318,59,31.70557123939426,13.111731459360835,5.45958912977455,57.95155334901397,3,ok,P_Power,AE,SFS_LGBM,mutual_lags_LGBM_2,0.6004093835154022,
2.773434526457218,0.007448170845238317,59,38.033598029372335,13.713537372723346,10.582970500912893,65.48422555783178,3,ok,P_Power,AE,SFS_LGBM,own_lags_LGBM_0,0.33646695616250244,
2.8704887183210612,0.005711469147992803,59,37.04180047428519,12.904353268439532,11.21093091526306,62.872670033307315,3,ok,P_Power,AE,SFS_LGBM,own_lags_LGBM_1,0.29128492654763294,
2.91017934757378,0.005115854136066176,59,36.569009801150756,12.565895580160166,11.41563691440081,61.722382687900705,3,ok,P_Power,AE,SFS_LGBM,own_lags_LGBM_2,0.26602441507544117,
-3.4394793599402047,0.0010859061275794277,59,-83.97650075840895,24.4154687295082,-132.84937139786678,-35.10363011895112,3,ok,P_Power,AE,SFS_LGBM,seasonal_naive_lag168,0.0705838982926628,
0.08713748882138891,0.9308623722844505,59,1.3620053131551688,15.630532065790364,-29.925904009430152,32.64991463574049,3,ok,P_Power,AE,SFS_LGBM,seasonal_naive_lag24,1.0,
-1.5898925547683325,0.11729565287494997,59,-4.849329848358025,3.050099098718425,-10.954766542638321,1.2561068459222717,3,ok,P_Power,AE,SFS_LGBM_1,SFS_LGBM_2,1.0,
-1.8245483254173718,0.07322112393787292,59,-5.647555008705868,3.0953167586909323,-11.843504683545266,0.5483946661335306,3,ok,P_Power,AE,SFS_LGBM_1,SFS_shared_LGBM,1.0,
-2.9362073731952445,0.004757103328587609,59,-71.08495805464779,24.209788008703075,-119.5461139991184,-22.623802110177174,3,ok,P_Power,AE,SFS_LGBM_1,mi_top_k_nolags_LGBM,0.2582019843277845,
2.780118965347164,0.007314499047010922,59,32.87582566702416,11.825330526069353,9.20485479719476,56.54679653685356,3,ok,P_Power,AE,SFS_LGBM_1,mutual_lags_LGBM_0,0.33646695616250244,
3.344227214626395,0.0014505955150157356,59,37.44708763825126,11.197530919691028,15.032794217048849,59.86138105945368,3,ok,P_Power,AE,SFS_LGBM_1,mutual_lags_LGBM_1,0.09138751744599134,
2.2698612255716606,0.026949096479363017,59,25.830943120115244,11.379965801041324,3.0514666071959837,48.6104196330345,3,ok,P_Power,AE,SFS_LGBM_1,mutual_lags_LGBM_2,0.8084728943808905,
2.737322071525213,0.008209999816494461,59,32.15896991009333,11.748332519809999,8.642127295637604,55.67581252454906,3,ok,P_Power,AE,SFS_LGBM_1,own_lags_LGBM_0,0.3612399919257563,
2.84193657773808,0.006178933152284673,59,31.16717235500618,10.966878219292417,9.214580476956982,53.11976423305538,3,ok,P_Power,AE,SFS_LGBM_1,own_lags_LGBM_1,0.2989367130185923,
2.850488024200651,0.006035344870155619,59,30.694381681871743,10.768114589949636,9.139658435890151,52.24910492785334,3,ok,P_Power,AE,SFS_LGBM_1,own_lags_LGBM_2,0.2989367130185923,
-3.78132943374114,0.0003709372937878975,59,-89.85112887768793,23.761782847042706,-137.41550505707568,-42.286752698300184,3,ok,P_Power,AE,SFS_LGBM_1,seasonal_naive_lag168,0.027078422446516516,SFS_LGBM_1
-0.33349827901433093,0.7399608780884063,59,-4.512622806123841,13.53117269288795,-31.59820776646622,22.57296215421854,3,ok,P_Power,AE,SFS_LGBM_1,seasonal_naive_lag24,1.0,
-0.7604195280167195,0.4500841226817479,59,-0.7982251603478435,1.0497168088643467,-2.8994616500527486,1.3030113293570618,3,ok,P_Power,AE,SFS_LGBM_2,SFS_shared_LGBM,1.0,
-2.6575645901842955,0.010152226462346123,59,-66.23562820628977,24.923431193706755,-116.12529619162335,-16.3459602209562,3,ok,P_Power,AE,SFS_LGBM_2,mi_top_k_nolags_LGBM,0.4263935114185372,
3.000764368160108,0.0039656651908715305,59,37.72515551538219,12.571848664849695,12.55986623492462,62.89044479583976,3,ok,P_Power,AE,SFS_LGBM_2,mutual_lags_LGBM_0,0.22604291587967723,
3.4935418538118963,0.0009195401840519076,59,42.29641748660929,12.10703041684145,18.06156302013958,66.531271953079,3,ok,P_Power,AE,SFS_LGBM_2,mutual_lags_LGBM_1,0.06252873251552972,
2.5393195356827656,0.013810379843141445,59,30.680272968473272,12.08208440779157,6.495353364478351,54.86519257246819,3,ok,P_Power,AE,SFS_LGBM_2,mutual_lags_LGBM_2,0.5109840541962335,
2.94092899293505,0.004694581533232446,59,37.00829975845136,12.583880755827783,11.818925631112123,62.19767388579059,3,ok,P_Power,AE,SFS_LGBM_2,own_lags_LGBM_0,0.2582019843277845,
3.0289675359793056,0.0036599687583428945,59,36.01650220336421,11.890686108565239,12.214707921366298,59.818296485362126,3,ok,P_Power,AE,SFS_LGBM_2,own_lags_LGBM_1,0.21593815674223077,
