statistic,p_value,n,mean_difference,standard_error,ci_low,ci_high,hac_lag,status,target,loss,horizon,model_a,model_b,p_holm_within_horizon,p_holm_global
3.664983503982037,0.0005378144866683161,59,39856.81042134495,10875.031327709981,18088.070072040704,61625.55077064919,3,ok,P_Power,SE,1,mi_top_k_nolags_LGBM,own_lags_LGBM_2,0.026890724333415803,0.9934815046942118
-1.0447199718195945,0.30048713848133213,59,-16208.070178722397,15514.27235615369,-47263.26040782634,14847.120050381543,3,ok,P_Power,SE,1,mi_top_k_nolags_LGBM,seasonal_naive_lag168,1.0,1.0
2.5960725553439192,0.011926827447072536,59,29002.96235676886,11171.861239805236,6640.052382606253,51365.87233093147,3,ok,P_Power,SE,1,mi_top_k_nolags_LGBM,seasonal_naive_lag24,0.3935853057533937,1.0
-3.3732181722638153,0.0013288504001593606,59,-1229.8522697313942,364.59315909175916,-1959.6647708851142,-500.0397685776744,3,ok,P_Power,SE,1,mutual_lags_LGBM_0,mutual_lags_LGBM_1,0.05979826800717123,1.0
-4.089213449023172,0.00013508125509576754,59,-1761.8302300478529,430.8481941603506,-2624.266593311028,-899.3938667846778,3,ok,P_Power,SE,1,mutual_lags_LGBM_0,mutual_lags_LGBM_2,0.007834712795554517,0.27313429780364196
-0.8276045479302144,0.4112867923774258,59,-176.69334797337106,213.4997305358818,-604.0594914473421,250.67279550060002,3,ok,P_Power,SE,1,mutual_lags_LGBM_0,own_lags_LGBM_0,1.0,1.0
-3.0942002094947374,0.0030351214071688646,59,-1722.8193180870294,556.7898653747278,-2837.3553266024937,-608.2833095715648,3,ok,P_Power,SE,1,mutual_lags_LGBM_0,own_lags_LGBM_1,0.1274750991010923,1.0
-2.433428797098979,0.018059103639584635,59,-825.7170442625617,339.3224594230755,-1504.9447440528943,-146.48934447222916,3,ok,P_Power,SE,1,mutual_lags_LGBM_0,own_lags_LGBM_2,0.5056549019083698,1.0
-4.3719946883846665,5.175673577396314e-05,59,-56890.59764432991,13012.503833884904,-82937.95408112423,-30843.241207535582,3,ok,P_Power,SE,1,mutual_lags_LGBM_0,seasonal_naive_lag168,0.003593530409007127,0.10874090186109657
-5.214927355397863,2.566568607539321e-06,59,-11679.565108838655,2239.640998402285,-16162.693653549,-7196.436564128309,3,ok,P_Power,SE,1,mutual_lags_LGBM_0,seasonal_naive_lag24,0.00023099117467853888,0.005602819270258338
-0.9639148295150244,0.33909046668178533,59,-531.9779603164586,551.8931175528375,-1636.7120631013952,572.756142468478,3,ok,P_Power,SE,1,mutual_lags_LGBM_1,mutual_lags_LGBM_2,1.0,1.0
2.6352977552823855,0.010764921977428977,59,1053.158921758023,399.6356463503957,253.20126117075392,1853.1165823452923,3,ok,P_Power,SE,1,mutual_lags_LGBM_1,own_lags_LGBM_0,0.3660073472325852,1.0
-0.8982615673288674,0.37276002919160023,59,-492.9670483556352,548.8012248164597,-1591.5120553910626,605.5779586797923,3,ok,P_Power,SE,1,mutual_lags_LGBM_1,own_lags_LGBM_1,1.0,1.0
1.0824092502284106,0.28355038193180127,59,404.13522546883246,373.3663818777894,-343.23878912798546,1151.5092400656504,3,ok,P_Power,SE,1,mutual_lags_LGBM_1,own_lags_LGBM_2,1.0,1.0
-4.279471610294386,7.106014683198941e-05,59,-55660.74537459852,13006.452768772919,-81695.98928856048,-29625.50146063656,3,ok,P_Power,SE,1,mutual_lags_LGBM_1,seasonal_naive_lag168,0.004618909544079312,0.14773404526370598
-4.8464324286802585,9.768231348592427e-06,59,-10449.712839107258,2156.1660031135193,-14765.748026259142,-6133.677651955376,3,ok,P_Power,SE,1,mutual_lags_LGBM_1,seasonal_naive_lag24,0.0007764708233855158,0.02112868440700542
3.822364358359533,0.0003249351715716725,59,1585.136882074482,414.7006233478968,755.023393633069,2415.250370515895,3,ok,P_Power,SE,1,mutual_lags_LGBM_2,own_lags_LGBM_0,0.017546499264870313,0.6229007239028962
0.0634227163796637,0.94964797431601,59,39.010911960823364,615.0936791684328,-1192.232860017849,1270.2546839394954,3,ok,P_Power,SE,1,mutual_lags_LGBM_2,own_lags_LGBM_1,1.0,1.0
1.9679407353172904,0.053861996077234346,59,936.1131857852912,475.68159395529864,-16.066977721104763,1888.2933492916873,3,ok,P_Power,SE,1,mutual_lags_LGBM_2,own_lags_LGBM_2,1.0,1.0
-4.257351961921689,7.662101393387952e-05,59,-55128.767414282054,12949.074426394844,-81049.15609709456,-29208.37873146956,3,ok,P_Power,SE,1,mutual_lags_LGBM_2,seasonal_naive_lag168,0.004903744891768289,0.15875874087099837
-4.471022620717143,3.6750538092662664e-05,59,-9917.734878790801,2218.2251623678917,-14357.994970073514,-5477.474787508088,3,ok,P_Power,SE,1,mutual_lags_LGBM_2,seasonal_naive_lag24,0.0026827892807643745,0.0777641386040742
-3.0429068318637476,0.0035171321091984624,59,-1546.1259701136585,508.1082187346081,-2563.2150753926153,-529.0368648347016,3,ok,P_Power,SE,1,own_lags_LGBM_0,own_lags_LGBM_1,0.14420241647713697,1.0
-1.6919979388898108,0.09601281476102465,59,-649.0236962891906,383.58421211496375,-1416.8509203217882,118.80352774340702,3,ok,P_Power,SE,1,own_lags_LGBM_0,own_lags_LGBM_2,1.0,1.0
-4.374365348437749,5.133614870010181e-05,59,-56713.90429635654,12965.058877995003,-82666.28933541155,-30761.519257301527,3,ok,P_Power,SE,1,own_lags_LGBM_0,seasonal_naive_lag168,0.003593530409007127,0.107908584567614
-5.394247512684852,1.3249320018659778e-06,59,-11502.871760865282,2132.433065745627,-15771.40031233773,-7234.343209392834,3,ok,P_Power,SE,1,own_lags_LGBM_0,seasonal_naive_lag24,0.00012056881216980399,0.0028936514920752956
1.7788706145299822,0.08050149749817127,59,897.1022738244676,504.31001923178223,-112.38390910141095,1906.5884567503463,3,ok,P_Power,SE,1,own_lags_LGBM_1,own_lags_LGBM_2,1.0,1.0
-4.29378400858705,6.767283921740733e-05,59,-55167.77832624288,12848.289111868222,-80886.42328282236,-29449.133369663396,3,ok,P_Power,SE,1,own_lags_LGBM_1,seasonal_naive_lag168,0.004466407388348884,0.14103019692907687
-4.876038517322487,8.784346520136355e-06,59,-9956.745790751624,2041.9743928148941,-14044.20163502605,-5869.289946477198,3,ok,P_Power,SE,1,own_lags_LGBM_1,seasonal_naive_lag24,0.000717409208042687,0.019062031948695893
-4.31558646207393,6.281209900559247e-05,59,-56064.88060006734,12991.25416505371,-82069.70120322997,-30060.059996904718,3,ok,P_Power,SE,1,own_lags_LGBM_2,seasonal_naive_lag168,0.004208410633374696,0.13102603852566588
