n_hours,n_days,RMSE,MAE,MAPE%,SMAPE%,WMAPE%,Bias_y_minus_pred,CRPS,Pinball_mean,Coverage80,Width80,IntervalScore80,Coverage95,Width95,IntervalScore95,model_id,target,regime
1296,54,151.4139761445315,117.7953718529225,19.674515470738214,17.349832629516722,17.364096215150635,-67.94557442487144,96.26156293607579,50.377119810648516,0.6304012345679012,322.2200141570429,634.9748286927953,0.8510802469135802,502.42237773894857,924.5654955135802,SFS_shared_LGBM,Q_Power,before_2022-02-24
120,5,146.12620038896597,108.69576974854775,15.053279126875804,14.422960002075788,14.920746031819043,5.241358057058661,85.58739484585581,44.83165240855538,0.75,322.22001415704295,537.544562003733,0.925,502.4223777389486,768.2925477126263,SFS_shared_LGBM,Q_Power,from_2022-02-24
1296,54,182.15239024529598,136.67222835737027,21.5365764352241,19.436188201709925,20.1467144744833,-38.22209653236615,98.13477705604129,51.443296414617485,0.7739197530864198,458.5200524804218,612.3715920664663,0.970679012345679,766.8702665176893,825.6622231784733,mi_top_k_nolags_LGBM,Q_Power,before_2022-02-24
120,5,188.03449981666833,149.839420201145,20.267585196734643,20.214812641001245,20.56856434752072,38.43977651258083,105.21906974608555,55.2924408801081,0.8,458.52005248042184,565.7497501829355,0.9916666666666667,766.8702665176894,779.7644897004976,mi_top_k_nolags_LGBM,Q_Power,from_2022-02-24
1296,54,122.29653353128185,90.16249140407915,13.939769940676655,13.069372031176691,13.29076135260131,-19.16513356121564,64.26229557069951,33.628483056677105,0.8148148148148148,291.1367036077792,413.76239756292705,0.9475308641975309,480.35070921202316,617.6535496563762,mutual_lags_LGBM_0,Q_Power,before_2022-02-24
120,5,151.731586820262,114.29875541028294,16.3655538270144,15.359904177983985,15.689871879789694,-3.4567778561737685,85.6812761547251,44.874269552487,0.6666666666666666,291.1367036077792,573.2984268847974,0.8333333333333334,480.3507092120232,838.661768586197,mutual_lags_LGBM_0,Q_Power,from_2022-02-24
1296,54,123.47212716891293,90.19559238288863,13.830891199184764,12.992513152377969,13.295640734293665,-19.329748079024434,64.78803310470526,33.93303553627477,0.8040123456790124,278.30511690801586,414.5199782163933,0.9560185185185185,483.199720604292,612.7526398821157,mutual_lags_LGBM_1,Q_Power,before_2022-02-24
120,5,145.88892492137384,99.0444724769377,14.007999959129416,12.792430926603643,13.595905554582295,-10.150246266093518,77.29117842682655,40.42760528765646,0.7083333333333334,278.3051169080159,521.9086923993359,0.925,483.1997206042921,806.1895766963042,mutual_lags_LGBM_1,Q_Power,from_2022-02-24
1296,54,126.15098229340917,87.5804199534372,13.4817498459359,12.500798858918511,12.910140820588209,-17.138671039696057,64.10727237645429,33.57105990167031,0.816358024691358,286.7205816293979,423.99793456699075,0.9729938271604939,525.6292378590006,605.5317688313008,mutual_lags_LGBM_2,Q_Power,before_2022-02-24
120,5,158.46253367209079,113.38163562077759,15.966652191635209,14.538581040920223,15.56397819053554,-29.671029594593563,84.91579856027053,44.57470682646655,0.6333333333333333,286.7205816293979,546.3214483159131,0.9416666666666667,525.6292378590006,706.3350376098537,mutual_lags_LGBM_2,Q_Power,from_2022-02-24
1296,54,117.46862580448135,85.77319500176169,13.140312516937566,12.462225674192489,12.643739624601524,-15.26500490317762,61.46174746705419,32.16909534793704,0.8364197530864198,283.029209398995,396.78107883361275,0.9637345679012346,489.07235943395096,584.098271953821,own_lags_LGBM_0,Q_Power,before_2022-02-24
120,5,150.62392232878096,106.27207034636413,15.019231285306747,14.0315987042399,14.588043081914806,0.7654970528411355,80.54387603580355,42.27269494843638,0.6666666666666666,283.0292093989951,537.3212267413256,0.925,489.07235943395085,715.7910049279055,own_lags_LGBM_0,Q_Power,from_2022-02-24
1296,54,118.09232353476393,85.46006533752443,12.983849812743104,12.227434398507171,12.597581498589388,-20.39806278348679,62.10682087531412,32.530066865641245,0.8148148148148148,276.562629042741,411.36154139651455,0.9652777777777778,502.3171158884517,574.5082794121745,own_lags_LGBM_1,Q_Power,before_2022-02-24
120,5,148.1947782112551,99.87674949421323,13.736264000962029,12.634548984409705,13.710152815829128,-6.512952410811225,79.03049488477245,41.40791768248226,0.6666666666666666,276.562629042741,564.1651994344035,0.9333333333333333,502.3171158884517,746.7952139647481,own_lags_LGBM_1,Q_Power,from_2022-02-24
1296,54,122.19817958967091,86.06172439502154,13.194156574938182,12.410743558374241,12.686271449635521,-13.005885323063037,63.06765317609343,33.020809857630695,0.8294753086419753,287.39465937410216,420.36785206865386,0.966820987654321,505.5043222885291,605.6368359851855,own_lags_LGBM_2,Q_Power,before_2022-02-24
120,5,150.61480071345252,105.96937766673999,14.80304898836745,13.703623184760374,14.546492241354859,-16.807395873588458,80.7460489521608,42.324101962332904,0.7083333333333334,287.39465937410216,554.6761301955024,0.9166666666666666,505.5043222885291,702.4999533839523,own_lags_LGBM_2,Q_Power,from_2022-02-24
1296,54,149.89838525220907,101.37566361664165,15.120746501918328,14.855663993981336,14.943683688286079,8.429783950617281,77.40191274981079,40.42924974995577,0.8641975308641975,400.16977086668277,559.738501200483,0.9513888888888888,636.2843416452373,821.6354465993825,seasonal_naive_lag168,Q_Power,before_2022-02-24
120,5,214.41725463062278,155.28916666666666,21.59823906747218,19.865670064204426,21.31665494145976,-21.964166666666664,115.70581891337098,60.483627731014096,0.725,400.16977086668277,760.1802291333173,0.9166666666666666,636.2843416452373,1246.5843416452367,seasonal_naive_lag168,Q_Power,from_2022-02-24
1296,54,172.03741031185194,114.71401238207375,16.911222869641975,16.10243025449061,16.909876142802723,2.108564814814816,86.36500783253331,45.11012021381671,0.9282407407407407,544.511190229402,605.3855091347511,0.9876543209876543,862.5222584733216,890.9574436585068,seasonal_naive_lag24,Q_Power,before_2022-02-24
120,5,194.74622910341552,123.77749999999999,16.140706638568254,14.512291770017017,16.991025927006298,-30.1275,95.23541857359693,49.83946227310688,0.9083333333333333,544.5111902294021,658.036190229402,0.9833333333333333,862.5222584733216,916.6222584733216,seasonal_naive_lag24,Q_Power,from_2022-02-24
